crawl_date,crawl_time,asin,name,rank,stars,reviews,price,url
,,B0D7VYL4X1,USB-C to 3.5mm Audio Headphone Adapter - HiFi 2 Pack Compatible with Apple iPhone 16 15 Samsung Galaxy S25 S24 S23 S22 S21 Plus Pro Max Ultra Pixel iPad - Type C to Aux Cord Jack Dongle Adapter,34,4.4,2193,$8.99,https://www.amazon.com/dp/B0D7VYL4X1
,,B0B7B6KLH3,"【Pack of 2】 New Universal Remote for All Samsung TV Remote, Replacement Compatible for All Samsung Smart TV, LED, LCD, HDTV, 3D, Series TV",35,4.5,17805,$9.96,https://www.amazon.com/dp/B0B7B6KLH3
,,B09WNK39JN,"Amazon Echo Pop (newest model), Our smallest Alexa speaker, Fits in any room, Charcoal",36,4.7,94242,$27.99,https://www.amazon.com/dp/B09WNK39JN
,,B0DPKL5Q4V,"Kids Headphones for School, 85/94 dB Volume Limit, Wired Over Ear Headphones for Kids Boys Girls with Microphone, Foldable Stereo Sound 3.5mm Wired Cord for Kindle Tablet Airplane Travel, Blue",37,4.6,589,$11.99,https://www.amazon.com/dp/B0DPKL5Q4V
,,B0746RBK2M,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),38,4.7,40498,$14.99,https://www.amazon.com/dp/B0746RBK2M
,,B08TVLYB3Q,"Cable Zip Ties,400 Pack Black Assorted Sizes 12+8+6+4 Inch,Multi-Purpose Self-Locking Nylon Cable Cord Management ,Plastic Wire Ties for Home,Office,Garden,Workshop. By HAVE ME TD",39,4.4,20018,$5.99,https://www.amazon.com/dp/B08TVLYB3Q
,,B09FT58QQP,"TOZO A1 Wireless Earbuds Bluetooth 5.3 Light Weight in Ear IPX5 Waterproof Headphones 2 Mic for AI Calls, Immersive Premium Sound Bass Headset with Charging Case, 32 Presets EQ Customization via App",40,4.3,103833,$12.97,https://www.amazon.com/dp/B09FT58QQP
,,B08HT46TVP,"[3 Pairs] Replacement Ear Tips for Airpods Pro and Airpods Pro 2nd Generation with Noise Reduction Hole, Silicone Ear Tips for Airpods Pro with Portable Storage Box and Fit in The Charging Case(S/M/L)",42,4.3,25479,$7.88,https://www.amazon.com/dp/B08HT46TVP
,,B0BTYCRJSS,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",43,4.4,72830,$19.99,https://www.amazon.com/dp/B0BTYCRJSS
,,B08WM3LMJF,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",44,4.5,81980,$29.95,https://www.amazon.com/dp/B08WM3LMJF
,,B07SHFPD8S,"Pipishell Full Motion TV Monitor Wall Mount Bracket Swivel Tilt Extension Rotation for Echo Show 21/15 and Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs",46,4.6,131998,$16.98,https://www.amazon.com/dp/B07SHFPD8S
,,B0DZ254SSR,"10Ft Extension Cord with Multiple Outlets, Flat Plug Surge Protector Power Strip 10 Ft Long Cord, 8 Outlets & 4 USB Ports (2 USB C), Desk Charging Station for Home Office, College Dorm Room Essentials",47,4.8,412,$14.99,https://www.amazon.com/dp/B0DZ254SSR
,,B0BRKPVZB4,"Bluetooth Speaker with HD Sound, Portable Wireless, IPX5 Waterproof, Up to 20H Playtime, TWS Pairing, BT5.3, for Home/Party/Outdoor/Beach, Stocking Stuffers, White Elephant Gifts for Adults (Black)",48,4.4,28137,$26.99,https://www.amazon.com/dp/B0BRKPVZB4
,,B0BLTYNJCK,"Surge Protector Flat Extension Cord Flat Plug Power Strip, 8 AC Outlets, 3 USB Charger(1 USB C Port) 3-Sided Outlet Extender, 5 Ft, 900 Joules Protection, Office Supplies, Dorm Room Essentials, Grey",49,4.8,12427,$22.99,https://www.amazon.com/dp/B0BLTYNJCK
,,B0B1N7LJD3,"Blink Outdoor 4 (newest model) – Wireless smart security camera, two-year battery life, two-way talk. Required Sync Module not included – Add-on camera",50,4.3,8614,$39.99,https://www.amazon.com/dp/B0B1N7LJD3
,,B08JHCVHTY,Blink Subscription Plus Plan with monthly auto-renewal,1,4.4,258544,$10,https://www.amazon.com/dp/B08JHCVHTY
,,B0CWXNS552,"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",2,4.7,38669,$22.99,https://www.amazon.com/dp/B0CWXNS552
,,B0CQMRKRV5,"Amazon Fire TV Stick HD (newest model), free and live TV, Alexa Voice Remote, smart home controls, HD streaming",5,4.7,34221,$24.99,https://www.amazon.com/dp/B0CQMRKRV5
,,B0CJM1GNFQ,"Amazon Fire TV Stick 4K (newest model) with AI-powered Fire TV Search, Wi-Fi 6, stream over 1.8 million movies and shows, free & live TV",6,4.7,82088,$29.99,https://www.amazon.com/dp/B0CJM1GNFQ
,,B0DXXYS4BJ,"Roku Streaming Stick HD 2025 — HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",8,4.7,2192,$19,https://www.amazon.com/dp/B0DXXYS4BJ
,,B0DCH8VDXF,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",9,4.6,15454,$16.99,https://www.amazon.com/dp/B0DCH8VDXF
,,B00NJ2M33I,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",10,4.5,108958,$9.99,https://www.amazon.com/dp/B00NJ2M33I
,,B0D7FVQ1ZB,"Apple EarPods Headphones with Lightning Connector, Wired Ear Buds for iPhone with Built-in Remote to Control Music, Phone Calls, and Volume",11,4.6,15454,$15.96,https://www.amazon.com/dp/B0D7FVQ1ZB
,,B0BP9SNVH9,"Amazon Fire TV Stick 4K Max streaming device (newest model) with AI-powered Fire TV Search, supports Wi-Fi 6E, free & live TV without cable or satellite",12,4.6,60783,$39.99,https://www.amazon.com/dp/B0BP9SNVH9
,,B0DGQZ8JZK,"Blink Video Doorbell (newest model) – Head-to-toe HD view, two-year battery life, and simple setup. Sync Module Core included – System (Black)",13,4.3,4884,$39.99,https://www.amazon.com/dp/B0DGQZ8JZK
,,B0DC6GXZSV,"Surge Protector Power Strip - CHCORE 5Ft Braided Extension Cord with 8 Outlets with 4 USB (2 USB C) Charging Ports, Flat Plug Multi Plug Outlet Extender Charging Station for Home Office, ETL, White",14,4.6,3279,$8.98,https://www.amazon.com/dp/B0DC6GXZSV
,,B08R6S1M1K,"Wall Charger, Surge Protector, QINLIANF 5 Outlet Extender with 4 USB Charging Ports (4.8A Total) 3-Sided 1680J Power Strip Multi Plug Adapter Spaced for Home Travel Office (3U1C)",16,4.7,102337,$9.48,https://www.amazon.com/dp/B08R6S1M1K
,,B09Z6Q2MLC,"(Pack of 2) Replacement-Remote-Control for Roku-TV,Compatible for TCL Roku/Hisense Roku/Onn Roku/Philips Roku Smart TVs(Not for Roku Stick and Box)",17,4.5,46922,$9.97,https://www.amazon.com/dp/B09Z6Q2MLC
,,B09PDLBFKY,"6 Ft Surge Protector Power Strip - 8 Widely Outlets with 4 USB Ports, 3 Side Outlet Extender with 6 Feet Extension Cord, Flat Plug, Wall Mount, Desk USB Charging Station, ETL,White",18,4.6,39056,$8.99,https://www.amazon.com/dp/B09PDLBFKY
,,B00SFSU53G,"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380",20,4.8,44198,$39.97,https://www.amazon.com/dp/B00SFSU53G
,,B0BQPNMXQV,"JBL Vibe Beam - True Wireless JBL Deep Bass Sound Earbuds, Bluetooth 5.2, Water & Dust Resistant, Hands-free call with VoiceAware, Up to 32 hours of battery life (Black)",21,4.3,26869,$34.95,https://www.amazon.com/dp/B0BQPNMXQV
,,B092J8LPWR,"Surge Protector Power Strip - HANYCONY 8 Outlets 4 USB (2 USB C) Charging Ports, Multi Plug Outlet Extender, 5Ft Braided Extension Cord, Flat Plug Wall Mount Desk Charging Station for Home Office ETL",23,4.8,57579,$9.99,https://www.amazon.com/dp/B092J8LPWR
,,B08MTBCXWX,"6Ft Power Strip Surge Protector - Yintar Extension Cord with 6 AC Outlets and 3 USB Ports for for Home, Office, Dorm Essentials, 1680 Joules, ETL Listed, (Black)",24,4.7,25431,$9.98,https://www.amazon.com/dp/B08MTBCXWX
,,B09B8V1LZ3,"Amazon Echo Dot (newest model), Vibrant sounding Alexa speaker, Great for bedrooms, dining rooms and offices, Charcoal",25,4.6,168250,$49.99,https://www.amazon.com/dp/B09B8V1LZ3
,,B09LYF2ST7,"BERIBES Bluetooth Headphones Over Ear, 65H Playtime and 6 EQ Music Modes Wireless Headphones with Microphone, HiFi Stereo Foldable Lightweight Headsets, Deep Bass for Home Office Cellphone PC Ect.",26,4.5,43823,$18.97,https://www.amazon.com/dp/B09LYF2ST7
,,B01MTB55WH,"Anker Soundcore 2 Portable Bluetooth Speaker with Stereo Sound, Bluetooth 5, Bassup, IPX7 Waterproof, 24-Hour Playtime, Wireless Stereo Pairing, Speaker for Home, Outdoors, Travel",28,4.6,137545,$39.99,https://www.amazon.com/dp/B01MTB55WH
,,B0DXY833HV,Roku Streaming Stick Plus 2025 - 4K & HDR Roku Streaming Device for TV with Voice Remote - Free & Live TV,29,4.5,819,$29,https://www.amazon.com/dp/B0DXY833HV
,,B09BKCDXZC,Roku Streaming Stick 4K - HDR & Dolby Vision Roku Streaming Device for TV with Voice Remote & Long-Range Wi-Fi - Free & Live TV,30,4.7,90433,$34.99,https://www.amazon.com/dp/B09BKCDXZC
,,B07HH1QSLB,"Amazon Basics Wired Earbuds with Microphone, In Ear Headphones, 3.5mm Jack, 4.2 ft long cable, S/M/L Ear Tips, Black",31,4.2,13324,$9.89,https://www.amazon.com/dp/B07HH1QSLB
,,B01KBEOL5E,"Amazon Basics Full Motion Articulating TV Monitor Wall Mount for 26"" to 55"" TVs and Flat Panels up to 80 Lbs, Black",33,4.6,51871,$22.98,https://www.amazon.com/dp/B01KBEOL5E
,,B0D7VYL4X1,USB-C to 3.5mm Audio Headphone Adapter - HiFi 2 Pack Compatible with Apple iPhone 16 15 Samsung Galaxy S25 S24 S23 S22 S21 Plus Pro Max Ultra Pixel iPad - Type C to Aux Cord Jack Dongle Adapter,34,4.4,2193,$8.99,https://www.amazon.com/dp/B0D7VYL4X1
,,B0B7B6KLH3,"【Pack of 2】 New Universal Remote for All Samsung TV Remote, Replacement Compatible for All Samsung Smart TV, LED, LCD, HDTV, 3D, Series TV",35,4.5,17805,$9.96,https://www.amazon.com/dp/B0B7B6KLH3
,,B09WNK39JN,"Amazon Echo Pop (newest model), Our smallest Alexa speaker, Fits in any room, Charcoal",36,4.7,94242,$27.99,https://www.amazon.com/dp/B09WNK39JN
,,B0DPKL5Q4V,"Kids Headphones for School, 85/94 dB Volume Limit, Wired Over Ear Headphones for Kids Boys Girls with Microphone, Foldable Stereo Sound 3.5mm Wired Cord for Kindle Tablet Airplane Travel, Blue",37,4.6,589,$11.99,https://www.amazon.com/dp/B0DPKL5Q4V
,,B0746RBK2M,Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),38,4.7,40498,$14.99,https://www.amazon.com/dp/B0746RBK2M
,,B08TVLYB3Q,"Cable Zip Ties,400 Pack Black Assorted Sizes 12+8+6+4 Inch,Multi-Purpose Self-Locking Nylon Cable Cord Management ,Plastic Wire Ties for Home,Office,Garden,Workshop. By HAVE ME TD",39,4.4,20018,$5.99,https://www.amazon.com/dp/B08TVLYB3Q
,,B09FT58QQP,"TOZO A1 Wireless Earbuds Bluetooth 5.3 Light Weight in Ear IPX5 Waterproof Headphones 2 Mic for AI Calls, Immersive Premium Sound Bass Headset with Charging Case, 32 Presets EQ Customization via App",40,4.3,103833,$12.97,https://www.amazon.com/dp/B09FT58QQP
,,B08HT46TVP,"[3 Pairs] Replacement Ear Tips for Airpods Pro and Airpods Pro 2nd Generation with Noise Reduction Hole, Silicone Ear Tips for Airpods Pro with Portable Storage Box and Fit in The Charging Case(S/M/L)",42,4.3,25479,$7.88,https://www.amazon.com/dp/B08HT46TVP
,,B0BTYCRJSS,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",43,4.4,72830,$19.99,https://www.amazon.com/dp/B0BTYCRJSS
,,B08WM3LMJF,"JBL Tune 510BT - Bluetooth headphones with up to 40 hours battery, microphone for call, foldable and comfortable, Android and iOs compatible (Black)",44,4.5,81980,$29.95,https://www.amazon.com/dp/B08WM3LMJF
,,B07SHFPD8S,"Pipishell Full Motion TV Monitor Wall Mount Bracket Swivel Tilt Extension Rotation for Echo Show 21/15 and Most 13-42 Inch LED LCD Flat Curved Screen TVs & Monitors, Max VESA 200x200mm up to 44lbs",46,4.6,131998,$16.98,https://www.amazon.com/dp/B07SHFPD8S
,,B0DZ254SSR,"10Ft Extension Cord with Multiple Outlets, Flat Plug Surge Protector Power Strip 10 Ft Long Cord, 8 Outlets & 4 USB Ports (2 USB C), Desk Charging Station for Home Office, College Dorm Room Essentials",47,4.8,412,$14.99,https://www.amazon.com/dp/B0DZ254SSR
,,B0BRKPVZB4,"Bluetooth Speaker with HD Sound, Portable Wireless, IPX5 Waterproof, Up to 20H Playtime, TWS Pairing, BT5.3, for Home/Party/Outdoor/Beach, Stocking Stuffers, White Elephant Gifts for Adults (Black)",48,4.4,28137,$26.99,https://www.amazon.com/dp/B0BRKPVZB4
